,train_timestamp,model,hyper_parameters,"('support', '1')","('support', '0')",TP,FP,TN,FN,accuracy,"('distribution', '1')","('precision', '1')","('lift', '1')","('recall', '1')","('f1-score', '1')",AUC,"('precision', '0')","('lift', '0')","('recall', '0')","('f1-score', '0')",feature_importance
baseline,2023-07-16 09:12:45,GaussianNB(),"{'priors': None, 'var_smoothing': 1e-09}",204,836,157,312,524,47,0.6548076923076923,0.1961538461538461,0.3347547974413646,1.706593084995192,0.7696078431372549,0.4665676077265974,0.7560805422647529,0.9176882661996496,1.1416217665641577,0.6267942583732058,0.7448471926083866,"{'type_white': 0.037, 'chlorides': -0.024, 'fixed_acidity': -0.02, 'volatile_acidity': -0.014, 'density': -0.006, 'free_sulfur_dioxide': -0.005, 'ph': -0.005, 'alcohol': -0.004, 'citric_acid': -0.004, 'sulphates': -0.003, 'residual_sugar': 0.003, 'total_sulfur_dioxide': -0.002}"
baseline_engineered_features,2023-07-25 09:49:12,GaussianNB(),"{'priors': None, 'var_smoothing': 1e-09}",204,836,202,792,44,2,0.2365384615384615,0.1961538461538461,0.2032193158953722,1.0360200418195449,0.9901960784313726,0.3372287145242069,0.7481559011164274,0.9565217391304348,1.1899313501144164,0.0526315789473684,0.0997732426303854,"{'volatile_acidity': 0.006, 'residual_sugar_is_outlier': 0.006, 'alcohol_is_outlier': 0.005, 'ph': 0.004, 'chlorides_x_volatile_acidity': 0.003, 'sulphates_is_outlier': -0.002, 'total_sulfur_dioxide': -0.002, 'citric_acid': -0.001, 'total_sulfur_dioxide_is_outlier': 0.001, 'ph_is_outlier': 0.001, 'fixed_acidity_is_outlier': 0.001, 'free_sulfur_dioxide': 0.001, 'density': 0.001, 'volatile_acidity_is_outlier': -0.001, 'density_is_outlier': -0.001, 'chlorides_is_outlier': -0.0, 'fixed_acidity': 0.0, 'residual_sugar': 0.0, 'chlorides': 0.0, 'type_white': 0.0, 'total_acidity': 0.0, 'sulphates': 0.0, 'citric_acid_is_outlier': 0.0, 'alcohol': 0.0, 'free_sulfur_dioxide_is_outlier': 0.0}"
KNeighborsClassifier(),2023-07-25 09:50:55,KNeighborsClassifier(),"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",204,836,158,204,632,46,0.7596153846153846,0.1961538461538461,0.43646408839779,2.2251110388906943,0.7745098039215687,0.5583038869257951,0.8358048362885824,0.9321533923303836,1.1596166603153095,0.7559808612440191,0.8348745046235138,"{'type_white': 0.045, 'sulphates': 0.026, 'free_sulfur_dioxide': 0.025, 'density': 0.017, 'alcohol': 0.013, 'chlorides': 0.013, 'residual_sugar': 0.012, 'ph': 0.011, 'fixed_acidity': 0.009, 'volatile_acidity': -0.008, 'total_sulfur_dioxide': 0.005, 'citric_acid': 0.003}"
KNeighborsClassifier()_engineered_features,2023-07-25 09:51:02,KNeighborsClassifier(),"{'algorithm': 'auto', 'leaf_size': 30, 'metric': 'minkowski', 'metric_params': None, 'n_jobs': None, 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",204,836,157,182,654,47,0.7798076923076923,0.1961538461538461,0.4631268436578171,2.361038810804558,0.7696078431372549,0.5782688766114179,0.8295161365981799,0.9329529243937232,1.1606112935041533,0.7822966507177034,0.8510084580351334,"{'fixed_acidity_is_outlier': 0.057, 'alcohol_is_outlier': 0.028, 'citric_acid': 0.028, 'citric_acid_is_outlier': 0.028, 'fixed_acidity': 0.026, 'density_is_outlier': 0.026, 'chlorides_is_outlier': 0.022, 'alcohol': 0.017, 'density': 0.015, 'volatile_acidity': 0.015, 'chlorides_x_volatile_acidity': 0.011, 'chlorides': 0.011, 'total_sulfur_dioxide_is_outlier': 0.008, 'free_sulfur_dioxide': -0.006, 'volatile_acidity_is_outlier': 0.003, 'total_sulfur_dioxide': 0.002, 'residual_sugar_is_outlier': 0.001, 'ph': -0.001, 'ph_is_outlier': -0.001, 'sulphates_is_outlier': -0.001, 'free_sulfur_dioxide_is_outlier': -0.001, 'sulphates': 0.0, 'type_white': 0.0, 'residual_sugar': 0.0, 'total_acidity': 0.0}"
SVC(probability=True),2023-07-25 09:51:26,SVC(probability=True),"{'C': 1.0, 'break_ties': False, 'cache_size': 200, 'class_weight': None, 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': -1, 'probability': True, 'random_state': None, 'shrinking': True, 'tol': 0.001, 'verbose': False}",204,836,171,225,611,33,0.7519230769230769,0.1961538461538461,0.4318181818181818,2.201426024955437,0.8382352941176471,0.5700000000000001,0.8530379256965943,0.9487577639751552,1.1802728164284229,0.7308612440191388,0.8256756756756757,"{'volatile_acidity': -0.018, 'type_white': 0.017, 'density': 0.015, 'residual_sugar': 0.012, 'sulphates': 0.007, 'alcohol': -0.005, 'free_sulfur_dioxide': 0.005, 'citric_acid': -0.002, 'chlorides': -0.001, 'total_sulfur_dioxide': -0.001, 'ph': -0.001, 'fixed_acidity': -0.0}"
SVC(probability=True)_engineered_features,2023-07-25 09:52:11,SVC(probability=True),"{'C': 1.0, 'break_ties': False, 'cache_size': 200, 'class_weight': None, 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 3, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': -1, 'probability': True, 'random_state': None, 'shrinking': True, 'tol': 0.001, 'verbose': False}",204,836,173,232,604,31,0.7471153846153846,0.1961538461538461,0.4271604938271605,2.177680948922779,0.8480392156862745,0.568144499178982,0.8541930528192138,0.9511811023622048,1.1832874957615944,0.722488038277512,0.8212100611828689,"{'free_sulfur_dioxide': -0.021, 'chlorides_is_outlier': 0.02, 'volatile_acidity': -0.018, 'density': 0.018, 'alcohol_is_outlier': -0.013, 'fixed_acidity_is_outlier': 0.012, 'citric_acid': 0.009, 'chlorides_x_volatile_acidity': -0.003, 'citric_acid_is_outlier': 0.002, 'chlorides': -0.002, 'total_sulfur_dioxide': -0.002, 'volatile_acidity_is_outlier': -0.002, 'alcohol': -0.001, 'density_is_outlier': 0.001, 'type_white': 0.001, 'fixed_acidity': -0.001, 'residual_sugar': -0.0, 'sulphates': -0.0, 'residual_sugar_is_outlier': -0.0, 'free_sulfur_dioxide_is_outlier': -0.0, 'total_sulfur_dioxide_is_outlier': 0.0, 'sulphates_is_outlier': 0.0, 'ph_is_outlier': -0.0, 'total_acidity': 0.0, 'ph': 0.0}"
LogisticRegression(),2023-07-25 09:52:11,LogisticRegression(),"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': None, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",204,836,154,252,584,50,0.7096153846153846,0.1961538461538461,0.3793103448275862,1.933739012846518,0.7549019607843137,0.5049180327868852,0.8015644056665728,0.9211356466876972,1.1459103738698626,0.6985645933014354,0.7945578231292517,"{'fixed_acidity': 0.348, 'volatile_acidity': -0.816, 'citric_acid': -0.028, 'residual_sugar': 0.76, 'chlorides': -0.161, 'free_sulfur_dioxide': 0.058, 'total_sulfur_dioxide': -0.108, 'density': -0.652, 'pH': 0.216, 'sulphates': 0.349, 'alcohol': 0.862, 'type_white': -0.332}"
LogisticRegression()_engineered_features,2023-07-25 09:52:11,LogisticRegression(),"{'C': 1.0, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 100, 'multi_class': 'auto', 'n_jobs': None, 'penalty': 'l2', 'random_state': None, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",204,836,153,254,582,51,0.7067307692307693,0.1961538461538461,0.3759213759213759,1.9164619164619163,0.75,0.5008183306055646,0.8064018669668823,0.919431279620853,1.143790108619243,0.6961722488038278,0.7923757658270933,"{'fixed_acidity': 0.412, 'volatile_acidity': -0.82, 'citric_acid': -0.062, 'residual_sugar': 0.943, 'chlorides': -0.12, 'free_sulfur_dioxide': -0.267, 'total_sulfur_dioxide': 0.185, 'density': -0.938, 'pH': 0.281, 'sulphates': 0.363, 'alcohol': 0.75, 'type_white': -0.251, 'fixed_acidity_is_outlier': 0.214, 'volatile_acidity_is_outlier': 0.021, 'citric_acid_is_outlier': -0.031, 'residual_sugar_is_outlier': -0.358, 'chlorides_is_outlier': -0.173, 'free_sulfur_dioxide_is_outlier': 0.013, 'total_sulfur_dioxide_is_outlier': -0.222, 'density_is_outlier': -0.036, 'pH_is_outlier': -0.012, 'sulphates_is_outlier': 0.052, 'alcohol_is_outlier': 0.106, 'chlorides_X_volatile_acidity': 0.022, 'total_acidity/free_sulfur_dioxide': -0.039, 'free_sulfur_dioxide/total_sulfur_dioxide': 0.275}"
DecisionTreeClassifier(),2023-07-25 09:52:12,DecisionTreeClassifier(),"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'random_state': None, 'splitter': 'best'}",204,836,125,80,756,79,0.8471153846153846,0.1961538461538461,0.6097560975609756,3.1085604973696794,0.6127450980392157,0.6112469437652811,0.7585256590674546,0.9053892215568864,1.1263215196401457,0.9043062200956936,0.9048473967684022,"{'fixed_acidity': 0.054, 'volatile_acidity': 0.143, 'citric_acid': 0.053, 'residual_sugar': 0.089, 'chlorides': 0.061, 'free_sulfur_dioxide': 0.051, 'total_sulfur_dioxide': 0.067, 'density': 0.081, 'pH': 0.068, 'sulphates': 0.065, 'alcohol': 0.267, 'type_white': 0.001}"
DecisionTreeClassifier()_engineered_features,2023-07-25 09:52:12,DecisionTreeClassifier(),"{'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'random_state': None, 'splitter': 'best'}",204,836,101,82,754,103,0.8221153846153846,0.1961538461538461,0.5519125683060109,2.8136719168541733,0.4950980392156863,0.5219638242894057,0.6985059574068861,0.8798133022170361,1.0945045864900929,0.901913875598086,0.8907265209686946,"{'fixed_acidity': 0.046, 'volatile_acidity': 0.083, 'citric_acid': 0.044, 'residual_sugar': 0.068, 'chlorides': 0.048, 'free_sulfur_dioxide': 0.025, 'total_sulfur_dioxide': 0.047, 'density': 0.081, 'pH': 0.052, 'sulphates': 0.071, 'alcohol': 0.266, 'type_white': 0.0, 'fixed_acidity_is_outlier': 0.0, 'volatile_acidity_is_outlier': 0.0, 'citric_acid_is_outlier': 0.0, 'residual_sugar_is_outlier': 0.0, 'chlorides_is_outlier': 0.001, 'free_sulfur_dioxide_is_outlier': 0.0, 'total_sulfur_dioxide_is_outlier': 0.0, 'density_is_outlier': 0.0, 'pH_is_outlier': 0.001, 'sulphates_is_outlier': 0.0, 'alcohol_is_outlier': 0.0, 'chlorides_X_volatile_acidity': 0.069, 'total_acidity/free_sulfur_dioxide': 0.038, 'free_sulfur_dioxide/total_sulfur_dioxide': 0.06}"
